StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q27,Q6,Q7,Q8,Q24,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q39_0_GROUP,Q39_0_1_RANK,Q39_0_2_RANK,Q39_0_3_RANK,Q39_0_4_RANK,Q39_0_5_RANK,Q39_0_6_RANK,Q39_0_7_RANK,Q37,Q13,Q14,Q16,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q21_1,Q21_2,Q21_3,Q32,Q43_1,Q43_2,Q43_3,Q44,Q20,Q33,Q34,Q35
2020-10-03 14:12:08,2020-10-03 14:55:45,0,217.105.100.155,100,2617,1,2020-10-03 14:55:46,R_3QLvxoZ3aUq6iP8,,,,,53.2252960205078125,6.581298828125,anonymous,NL,1,1,5,5,5,5,5,2,2,5,5,5,2,4,5,"1,7,6",1,,,,,3,2,Kanis & Gunnink,1,6,2,4,1,6,5,2,3,7,4,4,2,,5,5,4,,5,2,71,
2020-10-03 16:28:33,2020-10-03 16:36:29,0,84.28.229.6,100,476,1,2020-10-03 16:36:30,R_5gojmN0jLVCPDgd,,,,,53.218902587890625,6.5475006103515625,anonymous,EN,1,1,5,5,5,4,5,3,2,5,5,4,1,4,4,"1,4,2",1,3,,2,,,,,1,7,2,4,3,5,1,2,6,7,2,5,3,,2,4,4,,3,1,23,
2020-10-03 21:03:36,2020-10-03 21:09:20,0,82.95.77.148,100,343,1,2020-10-03 21:09:20,R_2VgToPYDHkb3aet,,,,,52.9109039306640625,5.4535064697265625,anonymous,NL,1,1,4,4,3,4,5,2,2,5,4,5,2,4,3,1,1,,,,,,,,1,5,2,3,5,1,2,4,6,7,4,5,4,"Keuken is waar Douwe Egberts al wordt gebruikt, dus dat zou de meest logische stap zijn, denk ik. ",3,3,3,,4,2,20,
2020-10-04 11:00:37,2020-10-04 11:04:39,0,77.161.68.170,100,242,1,2020-10-04 11:04:41,R_29hoAdlk2dgtuK2,,,,,51.99530029296875,4.471405029296875,anonymous,NL,1,1,3,3,1,4,4,3,3,4,4,4,4,4,4,"2,1,3",2,1,3,,,,,,2,3,2,1,2,3,4,5,6,7,2,3,3,,3,2,1,,4,1,29,
2020-10-04 11:17:51,2020-10-04 11:21:34,0,85.147.109.91,100,223,1,2020-10-04 11:21:35,R_cUVk9h9OPYmIp7r,,,,,53.2333984375,6.51080322265625,anonymous,EN,2,1,4,5,3,4,4,3,3,4,3,2,2,4,2,"2,3,4",,1,2,3,,,,,2,2,5,3,4,2,1,5,6,7,3,4,3,,3,3,3,,4,1,28,
2020-10-04 13:16:35,2020-10-04 13:20:58,0,85.149.29.110,100,263,1,2020-10-04 13:20:59,R_2PvCFlOfdd1LZma,,,,,53.2328948974609375,6.567901611328125,anonymous,EN,2,1,4,5,2,3,4,2,3,4,4,4,3,4,3,"2,1",2,1,,,,,,,2,3,2,6,2,4,3,1,5,7,3,4,3,,4,4,4,,4,1,30,
2020-10-04 14:37:52,2020-10-04 14:41:44,0,62.45.103.153,100,231,1,2020-10-04 14:41:44,R_2DSMiDnl5SBNivk,,,,,52.3462066650390625,6.854095458984375,anonymous,NL,1,1,3,5,1,4,4,3,3,4,3,3,3,3,3,"3,2,6",,2,1,,,3,,,3,2,5,4,1,3,2,5,6,7,3,3,3,,3,3,4,,4,1,30,
2020-10-04 18:26:48,2020-10-04 18:30:11,0,84.28.229.6,100,203,1,2020-10-04 18:30:12,R_b711dOUOCZnID7P,,,,,53.218902587890625,6.5475006103515625,anonymous,EN,2,1,5,5,5,5,4,2,2,5,5,4,2,5,5,"1,7",1,,,,,,2,,1,6,2,4,1,5,2,3,6,7,2,5,3,,2,4,3,,2,2,83,
2020-10-04 18:49:35,2020-10-04 18:56:48,0,84.28.229.6,100,433,1,2020-10-04 18:56:49,R_2zhGwZmwgkyTQH0,,,,,53.218902587890625,6.5475006103515625,anonymous,EN,2,1,3,5,4,4,4,2,2,3,4,4,1,4,4,"1,7",1,,,,,,2,K en g,1,6,2,5,2,3,1,4,7,6,3,4,3,,3,4,3,,3,2,79,
2020-10-04 20:33:55,2020-10-04 20:37:50,0,82.169.82.233,100,235,1,2020-10-04 20:37:52,R_1g10wbjD1NAasyV,,,,,53.0402069091796875,5.6685943603515625,anonymous,NL,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,"1,2,4",1,2,,3,,,,,3,2,2,2,1,4,6,5,3,7,3,3,3,,3,2,1,,3,1,30,
2020-10-04 21:00:46,2020-10-04 21:04:54,0,217.105.100.155,100,248,1,2020-10-04 21:04:56,R_12lljI7LVg7wGRX,,,,,53.2252960205078125,6.581298828125,anonymous,NL,3,1,3,3,3,2,4,3,3,3,3,3,3,3,3,"1,2,4",1,2,,3,,,,,2,1,,,,,,,,,3,4,2,,1,1,4,,3,1,15,
2020-10-05 10:44:36,2020-10-05 10:55:07,0,193.32.249.138,100,630,1,2020-10-05 10:55:09,R_2zZ7NORSorF4vNb,,,,,52.3385009765625,4.9167938232421875,anonymous,NL,1,1,4,4,3,2,5,1,1,5,2,1,1,5,1,"5,3",,,2,,1,,,,2,4,2,5,4,1,2,3,6,7,1,2,1,het klinkt allemaal zo buiten de cocoon waarin ik graag in waan als ik even geniet van een kopje koffie. Dat gevoel zou enorm verwateren/inflateren als dat voor een ander product 'misbruikt' wordt,1,2,1,"keukengerei heeft eventueel nog iets te maken met koffiezetten - maar mijn beleving en de kracht van het merk zit niet op een praktisch/gebruik-vlak, maar op een gevoels-gebied. Daar zie ik liever geen keukengerei bij staan",4,1,53,interessant - scheert alle mogelijk spectra van mijn gevoel bij DE wel een beetje over 1 kam misschien
2020-10-05 12:23:22,2020-10-05 12:26:30,0,82.72.120.142,100,188,1,2020-10-05 12:26:31,R_2ruuNjEIesxzC71,,,,,53.1925048828125,6.5550994873046875,anonymous,NL,5,1,1,1,3,3,4,3,2,3,3,3,1,3,3,4,,,,1,,,,,3,1,,,,,,,,,1,4,1,,3,3,3,,4,2,22,
2020-10-05 12:14:09,2020-10-05 12:29:53,0,185.65.134.164,100,944,1,2020-10-05 12:29:53,R_1NeHzHYBPbywyHE,,,,,52.3759002685546875,4.8975067138671875,anonymous,EN,5,1,5,5,3,4,5,1,2,4,3,2,1,5,4,1,1,,,,,,,,2,3,2,3,4,1,2,5,6,7,4,3,2,,3,3,1,,4,2,47,
2020-10-05 12:32:14,2020-10-05 12:35:48,0,217.105.100.155,100,213,1,2020-10-05 12:35:48,R_ezHcmD71cZs26bv,,,,,53.2252960205078125,6.581298828125,anonymous,NL,1,1,5,5,5,4,5,2,2,5,5,5,2,4,4,"1,6,7",1,,,,,2,3,Kanis & Gunnink,1,6,2,4,1,5,6,2,3,7,4,4,4,,5,5,5,,5,1,76,
2020-10-05 12:38:14,2020-10-05 12:41:27,0,84.86.145.5,100,193,1,2020-10-05 12:41:31,R_3MGq55R6jKoxQ2J,,,,,53.2274932861328125,6.543304443359375,anonymous,NL,5,1,3,3,3,3,4,3,3,3,4,4,4,3,4,"3,1",2,,1,,,,,,3,1,,,,,,,,,4,4,2,Bureau accesoires hebben niks te maken met de markt van Douwe egberts in mijn opzicht.,4,2,2,-,4,2,22,
2020-10-05 13:12:59,2020-10-05 13:16:30,0,81.207.130.89,100,210,1,2020-10-05 13:16:31,R_3O7zf8D6Us9vIzP,,,,,53.1378021240234375,6.423797607421875,anonymous,NL,1,1,4,2,3,4,4,3,3,5,4,4,2,4,3,"5,1,2",2,3,,,1,,,,2,3,1,3,4,2,1,5,6,7,3,2,1,,3,3,1,,3,2,23,
2020-10-05 13:29:40,2020-10-05 13:33:31,0,87.208.4.167,100,230,1,2020-10-05 13:33:31,R_2Eygvkg7zisdxdw,,,,,53.222198486328125,6.56640625,anonymous,NL,1,1,3,3,4,3,4,3,2,4,4,4,3,3,3,"2,1,3",2,1,3,,,,,,3,4,5,2,1,4,3,5,6,7,2,2,2,,1,1,1,,4,2,22,
2020-10-05 13:31:45,2020-10-05 13:36:42,0,87.208.4.167,100,297,1,2020-10-05 13:36:44,R_W3bgGGK1VVORSPD,,,,,53.222198486328125,6.56640625,anonymous,NL,1,1,3,4,3,4,5,2,2,5,4,4,2,4,3,"2,1,3",2,1,3,,,,,,2,4,2,2,3,5,4,1,6,7,2,4,3,Niet passend,1,4,2,,4,2,22,
2020-10-05 13:30:38,2020-10-05 13:37:46,0,217.120.183.243,100,427,1,2020-10-05 13:37:46,R_1Kx7Fz5LhGjupge,,,,,53.06640625,5.5260009765625,anonymous,NL,1,1,5,5,3,5,3,3,4,5,4,5,3,3,4,"1,3",1,,2,,,,,,1,4,2,2,1,5,3,4,6,7,3,4,3,,1,1,1,,3,1,30,
2020-10-05 12:56:39,2020-10-05 14:15:20,0,217.105.100.155,100,4721,1,2020-10-05 14:15:22,R_2cuXIwzLjiw2kjM,,,,,53.2252960205078125,6.581298828125,anonymous,NL,1,1,5,5,5,4,5,1,2,5,4,4,2,3,4,"1,2,7",1,2,,,,,3,Kanis & Gunnink,1,4,2,4,1,5,2,3,6,7,2,2,2,,2,2,2,,4,2,78,
2020-10-05 14:17:48,2020-10-05 14:33:37,0,217.105.100.155,100,949,1,2020-10-05 14:33:39,R_sA98k7QN7LLyqAh,,,,,53.2252960205078125,6.581298828125,anonymous,NL,1,1,5,5,1,3,4,3,3,4,4,4,2,4,3,1,1,,,,,,,,1,4,2,3,1,6,4,2,5,7,2,4,1,,4,4,1,,5,1,82,
2020-10-05 14:44:50,2020-10-05 14:49:19,0,109.37.132.63,100,268,1,2020-10-05 14:49:20,R_3ew420DkyLiWmre,,,,,52.1820068359375,5.403594970703125,anonymous,NL,1,1,5,5,1,5,3,1,1,5,3,3,1,4,1,5,,,,,1,,,,4,1,,,,,,,,,2,5,2,,2,4,2,,4,1,53,
2020-10-05 14:48:27,2020-10-05 14:50:52,0,213.127.44.235,100,144,1,2020-10-05 14:50:52,R_2zAshrhhsrqVrdk,,,,,52.3426055908203125,4.86309814453125,anonymous,NL,1,1,4,3,1,3,2,2,2,3,3,1,2,2,2,"2,5,7",,1,,,2,,3,Peeze,4,5,5,3,2,1,4,5,6,7,1,4,3,,3,3,3,,4,1,23,
2020-10-05 14:46:56,2020-10-05 14:51:36,0,82.73.162.51,100,279,1,2020-10-05 14:51:37,R_2uCCBhciX9DU8DU,,,,,53.222198486328125,6.56640625,anonymous,NL,2,1,4,2,3,3,3,3,4,5,4,4,3,3,2,"2,1,4",2,1,,3,,,,,2,4,2,4,3,2,1,5,6,7,2,4,1,,2,3,1,"Het hoort bij je start van de dag, dus ontbijt, dus in de keuken",3,1,22,
2020-10-05 14:46:34,2020-10-05 14:57:47,0,94.215.208.81,100,673,1,2020-10-05 14:57:48,R_3Ko5X6bT6yahkyd,,,,,52.69580078125,6.1956024169921875,anonymous,NL,1,1,5,5,3,5,5,1,1,5,4,4,2,5,4,"6,5,3",,,3,,2,1,,,3,3,5,4,3,2,1,5,6,7,4,4,4,,3,3,3,,5,2,55,
2020-10-05 15:10:46,2020-10-05 15:17:06,0,62.133.100.8,100,380,1,2020-10-05 15:17:06,R_2VE1ATFNFft0gU5,,,,,52.3428955078125,4.8966064453125,anonymous,NL,1,1,5,4,5,5,5,1,3,5,5,4,1,5,4,"5,2,6",,2,,,1,3,,,2,3,1,3,1,5,2,6,4,7,4,4,4,,4,4,3,,4,1,57,
2020-10-05 15:13:47,2020-10-05 15:18:48,0,188.206.108.110,100,301,1,2020-10-05 15:18:48,R_s7PricLkoj1Ksbn,,,,,52.0973052978515625,5.0951995849609375,anonymous,NL,1,1,4,4,5,2,5,1,1,5,3,5,1,4,1,"4,1,2",2,3,,1,,,,,2,4,2,6,3,1,4,5,2,7,1,4,1,,3,3,3,,4,2,55,Ik ga voor een product dat mij aanspreekt en mij goed lijkt. Dan maakt de merknaam mij niet uit
2020-10-05 15:17:19,2020-10-05 15:20:25,0,94.214.199.230,100,186,1,2020-10-05 15:20:28,R_1pYlodtpWMvXT79,,,,,53.2274932861328125,6.543304443359375,anonymous,NL,1,1,3,3,2,3,4,2,2,4,4,4,2,3,4,"1,2,7",1,2,,,,,3,Perla,2,2,2,1,4,2,3,5,6,7,2,4,2,,3,3,3,,4,1,23,
2020-10-05 15:37:07,2020-10-05 15:44:14,0,194.53.161.146,100,426,1,2020-10-05 15:44:14,R_3JrdZSX1GI2UKcL,,,,,51.955596923828125,5.843505859375,anonymous,NL,3,1,1,1,1,3,3,3,2,5,5,5,2,3,1,"1,2",1,2,,,,,,,3,1,,,,,,,,,2,2,5,koffie associeer ik met werken,1,1,3,,4,2,24,
2020-10-05 18:55:11,2020-10-05 18:59:23,0,217.105.100.155,100,252,1,2020-10-05 18:59:23,R_8qN09sOw8TpYVMt,,,,,53.2252960205078125,6.581298828125,anonymous,NL,1,1,3,4,2,1,5,4,4,3,4,3,3,4,4,"4,1,2",2,3,,1,,,,,2,1,,,,,,,,,5,4,1,,4,4,2,,4,2,19,
2020-10-05 18:56:37,2020-10-05 18:59:43,0,217.105.100.155,100,186,1,2020-10-05 18:59:45,R_1gLyYJmILSigt1Y,,,,,53.2252960205078125,6.581298828125,anonymous,NL,1,1,3,3,2,3,3,3,5,3,3,4,3,3,3,"2,4,1",3,1,,2,,,,,3,1,,,,,,,,,1,4,2,,2,3,3,,3,2,20,
2020-10-05 18:57:01,2020-10-05 19:02:47,0,217.105.100.155,100,346,1,2020-10-05 19:02:49,R_25QT2P7Dpg8EEou,,,,,53.2252960205078125,6.581298828125,anonymous,NL,1,1,4,1,3,2,5,2,4,4,5,4,2,4,2,"4,1,2",2,3,,1,,,,,2,3,1,4,2,3,5,1,6,7,2,4,1,"Textiel sluit aan bij bijv. de cafés, keukengerei bij de koffie/het eten",2,2,1,,3,2,21,
2020-10-05 21:26:52,2020-10-05 21:29:47,0,77.60.213.38,100,175,1,2020-10-05 21:29:49,R_3R8klNVMXYHLJUA,,,,,52.3795013427734375,4.8777008056640625,anonymous,EN,2,1,3,5,3,5,5,3,1,5,5,3,2,4,2,"2,3,4",,1,2,3,,,,,3,1,,,,,,,,,2,4,1,,2,2,1,,5,2,22,No
2020-10-05 22:00:03,2020-10-05 22:05:48,0,87.208.3.237,100,345,1,2020-10-05 22:05:48,R_1JKk36bKA0NDyWG,,,,,53.2306060791015625,6.5503997802734375,anonymous,NL,1,1,4,3,4,4,5,2,1,5,5,4,2,4,3,"1,6,7",1,,,,,2,3,Max Havelaar,2,5,5,6,1,5,4,2,3,7,4,5,2,,2,5,2,,4,1,25,
2020-10-05 23:13:02,2020-10-05 23:20:28,0,217.120.179.26,100,446,1,2020-10-05 23:20:29,R_1rw4LooCkl60IDv,,,,,53.06640625,5.5260009765625,anonymous,NL,1,1,5,4,5,4,3,4,4,4,4,2,2,2,2,"1,3",1,,2,,,,,,1,6,2,5,1,6,4,2,3,7,4,4,2,,4,4,2,,4,2,53,
2020-10-05 23:37:22,2020-10-05 23:40:52,0,217.120.183.243,100,209,1,2020-10-05 23:40:53,R_3GxNZKy1JEXy0De,,,,,53.06640625,5.5260009765625,anonymous,NL,2,1,3,3,3,3,5,3,5,5,3,5,4,3,4,"1,5,3",1,,3,,2,,,,1,6,2,3,1,2,4,5,7,6,5,5,3,,1,1,1,,3,2,25,
2020-10-06 11:12:58,2020-10-06 11:18:11,0,82.73.251.230,100,313,1,2020-10-06 11:18:12,R_2rC66DA6f8jlmyS,,,,,53.0919952392578125,6.674896240234375,anonymous,NL,1,1,2,1,4,2,3,4,4,5,4,5,3,3,3,"4,1,3",2,,3,1,,,,,2,4,2,6,1,4,3,2,5,7,2,3,1,,4,3,4,,2,1,21,
2020-10-06 11:15:36,2020-10-06 11:18:29,0,94.212.57.143,100,173,1,2020-10-06 11:18:29,R_33fAUX5Mh0yJupN,,,,,53.2328948974609375,6.567901611328125,anonymous,NL,1,1,5,3,2,4,4,1,1,5,4,4,1,4,3,"2,3,4",,1,2,3,,,,,2,1,,,,,,,,,2,5,2,-,1,4,1,-,3,2,23,-
2020-10-06 11:19:03,2020-10-06 11:21:43,0,84.84.177.97,100,160,1,2020-10-06 11:21:44,R_1ibBjhP5oINc5R4,,,,,53.19549560546875,6.5731964111328125,anonymous,NL,5,1,3,2,3,3,3,3,2,4,4,3,2,3,3,7,,,,,,,1,AH,3,1,,,,,,,,,4,3,1,Koffietextiel lijkt leuk bij koffie,4,4,1,,3,2,32,Nee
2020-10-06 11:20:23,2020-10-06 11:27:42,0,82.73.251.230,100,438,1,2020-10-06 11:27:44,R_1ePCEGs1VglAFmh,,,,,53.0919952392578125,6.674896240234375,anonymous,NL,1,1,4,4,1,3,4,1,3,4,4,4,4,4,3,1,1,,,,,,,,2,3,2,2,1,3,5,4,6,7,4,5,3,,2,4,3,,4,2,57,
